author,title,url,tags,categories,date,contents,topic
Alexander Wong,TM introduces its new 100Mbps UniFi Pro plan,http://www.soyacincau.com/2016/03/31/tm-introduces-its-new-100mbps-unifi-pro-plan/,"100Mbps,Fibre Broadband,Telekom Malaysia,TM,TM 100Mbps,TM Unifi,TM Unifi Pro,TM Unifi Pro Plan","Players on the Field,TM,UniFi",2016-03-31,"TIME made their move. Maxis followed soon after. Now, it’s TM’s turn to round up the trifecta of new plans with their new UniFi Pro plan that offers speeds of up to 100Mbps. As an early bird promo, TM is offering RM30/month off and you can start enjoying 100Mbps from as low as RM299/month with voice calls and IPTV bundled in. On the surface, it seems like a negligible difference compared to Maxis’ 100Mbps Home Fibre (RM330/month for MaxisONE postpaid customers) but if you take all the extras that come with your UniFi Pro plan into consideration, it offers much better value for your money. The base UniFi Pro plan is supposed to offer Internet speeds of up to 100Mbps plus a base HyppTV package (Aneka, Varnam or Ruby) for RM299/month (Normal: RM329). If you want the HyppTV Jumbo pack, you will have to top up an additional RM30, bringing the total to RM329 per month (Normal: RM359).  Besides that, the UniFi Pro plan looks to offer a free Voice Pack (worth RM20) which gives you 600 minutes of calls nationwide per month. If you exceed 600 minutes, you will be charged 10sen/min for calls to other fixed lines and mobile numbers but calls to TM fixed lines remain free. What’s more, you will also be able to stream HyppTV Everywhere on 2 devices, plus receive 500MB/day for TM WiFi. In addition to that, you will also have access to other UniFi perks like a free 12-month iflix subscription (worth RM96) and 3 months of Viu access. For Business users, the 100Mbps plan is offered at RM379/month (Normal: RM399) and it also comes with voice calls worth RM70. Any excess usage for fixed line numbers are still free but calls to mobile numbers are charged at 8 sen/minute.  To be fair, this UniFi Pro plan and Maxis’ MaxisONE Home 100Mbps plan, once again, doesn’t really compete with each other. The MaxisONE Home 100Mbps plan is only available in Maxis’ own areas of coverage (that is about 75,000 ports). These ports don’t overlap with UniFi’s own 1.89 million ports so the end result for the consumer is whether you have one or the other. Another difference is speed where TM offers 100Mbps for download and 50Mbps for upload. As usual, all subscription are tied with a 24-month contract.  If we were to take those factors out of the equation, the UniFi Pro plan is far better in terms of value-for-money as you’re getting high-speed Internet connectivity as well as a bunch of other goodies like IPTV and free streaming subscriptions. Another point against Maxis’ favour is that you have to be a MaxisONE Plan 158 and above subscriber to be eligible for the 100Mbps MaxisONE Home fibre Internet plan. If you were to factor that in with your monthly RM330, you’re paying RM488/month excluding GST.",2
Alexander Wong,Samsung Galaxy J3 for 2016 comes with a special mode for bikers,http://www.soyacincau.com/2016/03/31/samsung-galaxy-j3-for-2016-comes-with-a-special-mode-for-bikers/,"Bike Mode,S Bike Mode,Samsung,Samsung Galaxy J,Samsung Galaxy J3,Samsung Galaxy J3 2016,Samsung India,Samsung S Bike","Android,Mobile Devices,Mobile OS,Samsung",2016-03-31,"The new   is now complete with the Galaxy J3 (2016) in India. Slotting itself underneath the Galaxy J5 (2016) and Galaxy J7 (2016), the J3 (2016) is the smallest of the lot and it comes with a special feature designed for bikers.  It’s called S Bike which is a dedicated DND (Do not disturb) mode that manages your calls by priority. You can activate it with a provided NFC tag which you can stick on your bike or your helmet. Alternatively, you can activate this by switching to S Bike mode on the notification panel.  When there’s an incoming call, the caller will hear a prerecorded audio message to let them know that you’re on riding a bike. If it’s urgent, they can press “1” to continue and your phone will start to ring. For your safety, it will only let you pick up the call once you have stopped completely. Users of the S Bike will stand a chance to win special rewards from Samsung as an incentive to use it frequently.   In terms of specs, the Galaxy J3 (2016) gets a decent 5″ HD 720p screen and it is powered by an unnamed 1.5GHz Quad-Core processor with 1.5GB RAM. On-board there’s 8GB of storage which is expandable with microSD. For taking pictures, it gets a 5MP front-facing camera while the rear gets an 8MP main shooter. Powering the device is a 2,600mAh battery and it also supports 4G LTE connectivity.  The Galaxy J3 comes in 3 colours – Gold, Black and White, and it is priced at Rs 8,990 which is about RM525. If you own a bike, would you find S Bike useful? Let us know in the comments below.",0
Alexander Wong,"Xiaomi’s 20,000mAh power bank and new Mi Band are coming to Malaysia",http://www.soyacincau.com/2016/03/31/xiaomis-20000mah-power-bank-and-new-mi-band-are-coming-to-malaysia/,"Mi 20000mAh,Mi 20000mAH Power Bank,Mi 20000mAh PowerBank Malaysia,Mi Band,Mi Band 1S,Mi Band Malaysia,Mi Band with Heart Rate sensor,Mi Malaysia,Mi Power Bank,Power Bank,Xiaomi,Xiaomi Malaysia,Xiaomi Power Bank","Mobile Devices,Xiaomi",2016-03-31,": Xiaomi 20,000mAh Power Bank and Mi Band Pulse   revealed. Apart from their new  , Xiaomi Malaysia is bringing a couple of new accessories to our local market very soon. The first device as teased above is their new   that packs a huge 20,000mAh capacity.   The new   is huge on power but it is considerably light at 338 grams. As a comparison, their 16,000 mAh powerbank weighs 350 grams while two 10,000mAh power banks weigh 414 grams combined. For better grip, the body uses polycarbonate with a perforated texture. There are 2x USB outputs that push a maximum of 5.1V/3.6A combined. Replenishing this 20,000mAh brick is done quickly as it supports quick charge via 5V/2A, 9V/1.2A and 12V/1.5A. They reckon that you can charge up 11,000mAh in just 3 hours. In China, the 20,000mAh power bank is going for 149 CNY which is about RM90, but we reckon it will be priced higher when it gets here.  The 2nd device is their   which now comes with a heart rate sensor. It looks the same as before but you’ll find an optical sensor underneath. Like the current version, it also tracks your steps, sleeping pattern and you can also use it to unlock your Mi smartphone when you’re within range. It is also IP67 resistant and this could probably last up to 30 days depending on your usage. The new Mi Band is priced at 99CNY which is about RM60.  With the Redmi Note 3 going on sale next week on 6 April, we are guessing that these 2 new products could go on sale on the same day as well. The Redmi Note 3 is priced at RM749 for the 2GB RAM + 16GB storage model, while the higher spec 3GB RAM + 32GB storage version is going for RM849. We’ll let you know once we have more details.",9
Alexander Wong,"You can now buy the iPhone SE in Malaysia from RM2,049",http://www.soyacincau.com/2016/04/01/you-can-now-buy-the-iphone-se-in-malaysia-from-rm2049/,"apple,Apple iPhone SE,Buy iPhone SE Malaysia,iPhone,iPhone SE,iPhone SE Malaysia,iPhone SE Malaysia Price,iPhone SE Price,Lazada","iOS,iPhone,Mobile Devices,Mobile OS",2016-04-01,": The iPhone SE is officially priced in Malaysia from RM1,949. More details  . The   has hit first wave countries including our southern neighbour Singapore. While it will take some time before it hits Malaysia, a few enterprising stores have already started selling imported sets. If you can’t wait to get your hands on the most powerful 4-inch phone, you can get one now and the price markup isn’t as insane as its former flagships. Over at  , the iPhone SE can be yours from as low as RM2,049 for the 16GB version in Silver and Grey, while the Gold and Rose Gold colours are going for slightly more at RM2,088 for the same spec. The larger 64GB iPhone SE is offered at RM2,549 for the Silver and Grey, and it’s the same extra RM39 if you prefer Gold or Rose Gold. Over at  , they are offering the 16GB version at RM2,099 for Rose Gold/Gold, while the 64GB version is going for RM2,599. Alternatively, SatuGadget offers the   at RM2,088, while the   is offered at RM2,588. Is RM2,000 too much to pay for a 16GB iPhone SE? Over at  , they are selling them officially at S$658 (RM1,897) and $828 (RM2,387) for 16GB and 64GB respectively. Depending on how Apple perceives the strength of our ringgit, we are   that the iPhone SE could be priced from RM1,999 when it gets here. If you can wait, the iPhone SE should be out on our shores in the next 2 months and our 4 big telcos have already started teasing that it’s coming soon. According to Apple, the iPhone SE will hit 110 countries by end of May. Thanks   for the tip!",6
Alexander Wong,"Mi 20,000mAh Powerbank and Mi Band Pulse are available on 6 April",http://www.soyacincau.com/2016/04/01/xiaomi-mi-20000mah-powerbank-mi-band-pulse-malaysia-sale/,"Mi 20000mAh,Mi 20000mAH Power Bank,Mi 20000mAh PowerBank Malaysia,Mi Band,Mi Band 1S,Mi Band Malaysia,Mi Band with Heart Rate sensor,Mi Malaysia,Mi Power Bank,Power Bank,Xiaomi,Xiaomi Malaysia,Xiaomi Power Bank","Mobile Devices,Xiaomi",2016-04-01,"The   will   next Wednesday  in Malaysia along with its new mammoth sized power bank and an updated Mi Band fitness band. The new Mi 20,000mAh power bank is hitting their online store at only RM99 while its updated Mi Band Pulse with heart rate monitoring is going for just RM79. The largest Mi Power Bank packs fantastic value and it is only RM10 more than its current 16,000mAh Power Bank. It also gets 2x USB outputs pushing a combined 3.6A but it is lighter due to its polycarbonate construction instead of aluminium. On the plus side, the new power bank supports fast charging inputs supporting various chargers including 5V/2A, 9V/2A and 12V/1.5A. Xiaomi reckons that fast charging can replenish 11,000mAh in just 3 hours. Like the rest of its power banks, it gets a 9 layer circuit protection system by Texas Instruments for safer and reliable charging/discharging. Below is the full price of Mi Power banks for Malaysia. The next product is their latest Mi Band that comes with a heart rate sensor underneath. This not only tracks your activity and sleeping patterns but also monitors your heart rate in real time. The Mi Band Pulse uses a Mi Fit app and it syncs via Bluetooth. Apart from being an activity tracker, it also works for notifications and it can be a subtle vibrating alarm on your wrist. For RM79, this is quite a steal for those who want a basic activity tracker. The standard Mi Band without the heart rate monitoring is still available at RM69, but you can snap it up during the   next week.  Want a better deal? You can try your luck with its limited flash sales where you can pick up a Mi In-Ear headphone, Redmi Note 2, Mi Band Pulse or the 20,000 Power Bank for only RM1. Xiaomi Malaysia is also throwing another new accessory with the Mi USB Car Charger. It is going for RM35 and it comes with two USB ports that can support up to 5V/3.6A on a single port or 5V/2.4A when both ports are in use.  The Mi USB Charger has a metallic body and Xiaomi says you can charge your MacBook with your own USB Type-C cable. From the product shot above, it even lights up in the dark. To refresh your memory, the Redmi Note 3 is sitting on top of our list for the  . The base 2GB RAM and 16GB storage model is going for RM749, while its higher spec 3GB RAM and 32GB storage option is priced at RM849. Xiaomi is also bringing a couple of accessories for the Redmi Note 3 and they are listed below: Interested? Mark your calendars next Wednesday 6 April. We can foresee the 20,000mAh power banks will be flying off their virtual shelves.",9
Rory Lee,Microsoft Lumia 650 up for pre-orders in Malaysia,http://www.soyacincau.com/2016/03/31/microsoft-lumia-650-up-for-preorders-in-malaysia/,"Lumia 650,microsoft,Microsoft Lumia,Microsoft Lumia 650,Microsoft Lumia 650 Malaysia,Microsoft Malaysia,smartphone,Windows 10,Windows 10 Mobile,windows phone","Microsoft,Mobile Devices,Mobile OS,Windows 10,Windows Phone",2016-03-31,"Pre-orders are live and the device will be officially available on 8 April 2016 at all authorised Microsoft retailers. Want to get your hands on the  ? Well, it’s up for pre-orders on Lazada for less than RM1000. The 5-inch   gets a 720p HD panel on the front and a Snapdragon 212 quad-core processor clocked at 1.3GHz mated to 1GB of RAM and 16GB of expandable (up to 200GB via microSD) internal storage. While these aren’t incredible specs, it was built for Windows 10 Mobile so we suspect that Microsoft has optimised the performance properly. Well, we hope, anyway. Well, we hope, anyway. For photos, the smartphone gets an 8-megapixel rear-facing primary camera that has an f/2.2 aperture with an LED flash to help out with low-light conditions. On the front, you’ll find a 5-megapixel wide-angle selfie-shooter. Keeping the lights on is a 2,000 mAh battery. Perhaps the best thing about this device is its build because we reckon it’s built even better than the flagship   and  . The Lumia 650 comes with a highly polished, diamond cut and anodized aluminium frame which should feel pretty premium in the hand. It’s also the thinnest Windows Phone in the market, coming in at only 6.9mm thick. If you’re interested, Lazada is having a   for the smartphone and it’s priced at RM899. However, you can’t place an order just yet as the button is still greyed out and labeled “Coming soon”. The good news is that the title lets us know that the device is estimated to arrive on the 11th of April 2016. If you do decide to pick one up, Lazada will throw in a chance for you to win 13,000 AirAsia BIG points (customers who are already BIG members will receive an additional 899 BIG points) plus an RM25 Lazada voucher that you can immediately redeem on your Lumia 650 purchase if you so desired (only for Lumia 650 DS). Would you guys pick this Windows 10 Mobile device up for RM899? Thanks Lok Zaii for the tip!",6
Alexander Wong,The Samsung Galaxy A9 gets an upgraded Pro version,http://www.soyacincau.com/2016/03/30/the-samsung-galaxy-a9-gets-an-upgraded-pro-version/,"Android,China,Samsung,Samsung China,Samsung Galaxy A9,Samsung Galaxy A9 pro,Samsung Galaxy A9 Pro specs,smartphone","Android,Mobile Devices,Mobile OS,Samsung",2016-03-30,"The largest member of the   (2016) series has just gotten a boost with the Galaxy A9 Pro. On the exterior, it looks like a    but it gets some well deserved upgrades in the hardware department. While it gets the same 6.0″ Full HD display and an octa-core Snapdragon 652 processor as the standard A9, the Galaxy A9 Pro gets 4GB of RAM and 32GB of storage on board. For taking pictures, the main 13MP camera has been upgraded to a higher 16MP unit, while the battery has been increased from 4,000mAh to 5,000mAh for extra long usage. In China, the Galaxy A9 Pro is going for 3,499 CNY (about RM2,123) which is encroaching flagship smartphone territory. At the moment, there’s no word of it being released internationally and Samsung Malaysia is currently offering just the   for our local market.",6
Rory Lee,Samsung’s Galaxy J5 and J7 receive the upgrades they deserve,http://www.soyacincau.com/2016/03/29/samsungs-galaxy-j5-and-j7-receive-the-upgrades-they-deserve/,"revealed,Samsung,Samsung Galaxy J,Samsung Galaxy J5,Samsung Galaxy J5 2016,Samsung Galaxy J7,Samsung Galaxy J7 2016","Android,Mobile Devices,Mobile OS,Samsung",2016-03-29,"has finally revealed their new   (2016) and   (2016) smartphones, fixing many of the issues we originally had with the devices. The duo got a bump in specs as well as a few nice new features. The Galaxy J5 was a rather underwhelming device from the get-go with a measly 1.5GB of RAM and 8GB of internal storage. With the Galaxy J5 (2016), Samsung has bumped the specs up by quite a bit. Now, it sports a larger 5.2-inch HD Super AMOLED panel on the front of the device with a 1.2GHz octa-core processor mated to 2GB OF RAM and 16GB of expandable internal storage. Now with twice the storage, users start with 10.6GB of available storage compared to the old device’s 4.3GB of available storage. In the camera department, its got a 13MP f/1.9 primary camera mounted on the back plus a 5-megapixel f/1.9 selfie shooter with front-facing flash for those crucial low-light selfies. Keeping the lights on is a larger 3,100 mAh battery. Perched higher up the ladder is the bigger and more powerful Galaxy J7 (2016). Along with a larger 5.5-inch full-HD Super AMOLED panel, the J7 (2016) also sports beefier internals with a 1.6GHz octa-core processor on the inside mated to 3GB of RAM and 16GB of expandable internal storage. While the bump up in screen resolution to full-HD from the HD panel on the previous model is nice, the best part of this new model is the increased RAM — double that of the old J7’s 1.5GB. For photos, the Galaxy J7 (2016) sports the same optics as on the Galaxy J5 (2016) which should result in a similar photo-taking experience. Since it’s a bigger device, it also gets a bigger battery — rated at 3,300 mAh — which is also a bump up from the previous J7. The new Galaxy J duo also has support for microSD expansion (up to 128GB) and dual-SIM capabilities via a dedicated microSD card slot and dual-SIM slot. That means you don’t have to choose between 2 SIMs or 1 SIM and one microSD card. Besides that, these devices now have support for NFC which should mean pairing and mobile payments are now that much easier. They’ve also got a metal frame that should lend a more premium feel in your hand.   As a whole, the upgrades these devices received are definitely necessary as it helps them keep up with the other low-end good-value smartphones in the market. However, with this bump in specifications, it is likely that the duo will also be marketed at a higher price. These devices will soon see an official release in China, but there is currently no word on when the Galaxy J duo will see an international release or when they will arrive in Malaysia. With the upgraded specs on the J5 (2016) and J7 (2016), these entry-level Samsung devices actually have better internals than the South Korean company’s mid-range Galaxy A3 (2016) and Galaxy A5 (2016) smartphones. However, the Galaxy A series devices have a more premium build and finish (plus a fingerprint scanner on the A5) which does feel great in the hand. What do you think of these new Galaxy J devices?",6
Alexander Wong,The Galaxy S6 finally gets Marshmallow update in Malaysia,http://www.soyacincau.com/2016/03/31/the-galaxy-s6-finally-gets-marshmallow-update-in-malaysia/,"Android 6.0,Android Marshmallow,Marshmallow update,Samsung,Samsung Galaxy S6,Samsung Galaxy S6 Edge,Samsung Galaxy S6 edge Malaysia","Android,Mobile Devices,Mobile OS,Samsung",2016-03-31,"After almost   wait, the latest Marshmallow update has finally arrived for   users in Malaysia. This brings the 2015 compact flagship from Android 5.1.1 to 6.0.1. If you haven’t received your update notification yet, you can try updating manually under Settings > About Device. The update is about 1.3GB in size so it’s best to download this via fixed WiFi.  With the latest Android, you get Now on Tap, app permission controls and a more power efficient Doze mode that prolongs your battery life on standby. Some notable changes include lighter colours for the Touchwiz interface and they have added manual shutter speed controls for the camera’s Pro mode.",6
Rory Lee,NeonRunner is like Uber for deliveries,http://www.soyacincau.com/2016/03/29/neonrunner-is-like-uber-for-deliveries/,"GoGet,local delivery,MatDespatch,Neon Runner,NeonRunner,NeonRunner Malaysia,quick delivery,Uber","Cool stuff,Mobile Apps,Others",2016-03-29,"Uber can be really awesome at times. Whether you’re travelling in an unfamiliar part of town, don’t want to worry about parking, or are just too tired to drive, Uber becomes your personal chauffeur. If you’ve been a little creative with your use of Uber, I’m sure you’ve probably discovered that you can have an Uber driver send stuff like a parcel or a birthday cake instead. Of course, this may come with complications as the Uber service isn’t exactly meant for stuff like this, but as there aren’t many services like that, many have had no choice but to use Uber. Well, that’s not the case anymore. Meet NeonRunner. Funky name aside, NeonRunner offers same-day delivery services for “almost anything that can fit in their waterproof 18″ x 18″ x 16″ insulated carrier box that is below 12kg”. That’s a pretty wide range of stuff, but you probably won’t be able to use them for furniture delivery. NeonRunner offers two separate services — the first being a buying service where they buy stuff and send it to you while the second is a delivery service where they pick up whatever package or parcel you have and sends it to your desired location. Within the delivery service, you also have the option to get NeonRunner to complete specific tasks for you like banking in a cheque or paying your bills. Requesting a delivery, purchase or task is fairly simple. Simply create/log in to your NeonRunner account and choose either BUY or DELIVER. Then, enter the location details, item descriptions (you can add a photo too) and contact information before hitting the “Request a runner button”. To the right of the order page you will see a floating window that gives you a total estimate fee to get the task, purchase or delivery done. In the fee breakdown, they charge an RM0.25/km Distance Fee plus a RM0.50/min Time Fee for both services. However, for the BUY service, NeonRunner charges you an RM5 + 3.5% of the purchased item Service Fee while the DELIVER option gets a flat RM3 Service Fee. This service is reminiscent of something like GoGet or MatDespatch, but the biggest difference is the method of payment. With GoGet, you will need to have cash ready when the delivery arrives while MatDespatch operates on a prepaid credit system. NeonRunner, on the other hand, is cashless (much like Uber). Simply input your card information and billing address and you’re good to go. Easy and hassle free, two things I believe are a necessity for people who require these services. Though, it is worth noting that the operation only runs from 10am to 10pm daily, so no midnight deliveries for you. NeonRunner also only operates within the Greater Kuala Lumper and Klang Valley area.",8
Rory Lee,Xiaomi’s Redmi 3 Pro packs more power and a fingerprint scanner,http://www.soyacincau.com/2016/03/29/xiaomis-redmi-3-pro-packs-more-power-and-a-fingerprint-scanner/,"Android,Redmi 3,Redmi 3 Pro,Redmi 3 Pro launch,smartphone,Xiaomi,Xiaomi fingerprint scanner,Xiaomi Redmi 3,Xiaomi Redmi 3 Pro","Android,Mobile Devices,Mobile OS,Xiaomi",2016-03-29,"is taking over 2016’s entry-level smartphone markets with premium-built devices that pack a punch without burning a hole in your wallet. The existing   and   have garnered a lot of attention, but Xiaomi’s not done yet. Meet the brand new Redmi 3 Pro — possibly one of the cheapest smartphones with a fingerprint scanner yet. When we  , the Redmi 3 looked like a seriously good value phone. It had a Snapdragon 616 octa-core processor with 2GB of RAM and 16GB of expandable internal storage. Plus, it had a metal unibody — with some models even sporting a sophisticated diamond etched design — which is very rare at that price point. Now, Xiaomi has upped the ante with the Redmi 3 Pro, bumping up the RAM to 3GB while doubling the expandable internal storage to 32GB. It’s also got a fingerprint scanner mounted on the back of the device — similar to the Redmi Note 3 — but that also means that it loses its diamond-etch pattern. Besides that, the phone keeps all of its other specs including a 13-megapixel PDAF camera with an f/2.0 aperture lens and a 5MP front facing snapper. The Redmi 3 Pro will also have dual-SIM and microSD support (up to 128GB) via a hybrid-SIM tray. Keeping the 5-inch HD screen lit is a massive 4,100 mAh battery that should easily last an entire day. The device will come running MIUI 7 out of the box and will go on sale in China starting 6th April 2016 at CNY899 (around RM551). For more information, check out the Redmi 3 Pro’s  .",6
Rory Lee,Xiaomi’s smart rice cooker will cook your rice perfectly every single time,http://www.soyacincau.com/2016/03/29/xiaomis-smart-rice-cooker-will-cook-your-rice-perfectly-every-single-time/,"connected rice cooker,Malaysia,smart rice cooker,Xiaomi,Xiaomi Mi Induction Heating Pressure Rice Cooker,Xiaomi Rice cooker,Xiaomi smart rice cooker","Cool stuff,Others,Xiaomi",2016-03-29,"is more than just a smartphone manufacturer. They have a large catalogue products ranging from personal mobility scooters to air purifiers. Now, they’re adding a new product to their roster — a rice cooker. Together with the launch of Xiaomi’s new sub-brand, the Mi Ecosystem, the Chinese company has unveiled the Mi Induction Heating Pressure Rice Cooker. Now   how you name a rice cooker. Like its name suggests, the Mi Induction Heating Pressure Rice Cooker is a WiFi-enabled rice cooker that is designed specifically to cook your rice in the best way possible. According to Xiaomi, their rice cooker follows the three concepts applied by expensive Japanese rice cookers to cook rice perfectly: Pressure control, heating method and the cooker’s lining material. The Mi Induction Heating Pressure Rice Cooker employs a magnetic relief valve to precisely control the pressure in the rice cooker while using an electromagnetic heating technology for higher thermal efficiency and to ensure even cooking of the rice. It also uses a grey cast iron that has undergone a 69-step process to maintain an even heating and ensure strong thermal performance during use. The cast iron pot is coated with PFA powder to ensure that your rice doesn’t stick to the bottom of the pot. Perhaps the most amazing feature of the Xiaomi rice cooker is the fact that you can scan a pack of rice with the Mi Home app to identify the type of rice, brand and origin. Then, based on that, the rice cooker can adjust its heating methodology to best suit that brand of rice so that the end result is a perfectly cooked pot of rice. Users can also customise the cooking and have their own preset preferences to cook the rice. It currently supports over 200 brands of rice but this support will be expanded in the future. As a cherry on top of the proverbial cake, the Mi Home app also comes with recipes that you can cook using the Mi Induction Heating Pressure Rice Cooker like brown rice, crispy rice and even cakes.",1
Alexander Wong,HTC 10 claims to be the fastest and smoothest Android yet,http://www.soyacincau.com/2016/03/30/htc-10-claims-to-be-the-fastest-and-smoothest-android-yet/,"Android,HTC,HTC 10,HTC 10 Performance,HTC M10,HTC One M10,Powerof10,Smartphone. HTC 10 Specs","Android,HTC,Mobile Devices,Mobile OS",2016-03-30,"The next flagship phone to look out for is the   that’s scheduled to be announced on 12 April. In its latest teaser, HTC is boasting top notch performance claiming that it will be the fastest and smoothest Android yet. That’s a very bold statement and we’ve already seen   beating other devices including the Xiaomi Mi 5, Galaxy S7 edge and iPhone 6s. Coupled that with their slick Sense UI, this could be the best Android experience after the Nexus 6P.  To shed more light on its hardware, the HTC 10 has surfaced on GFXBench database. It confirms what we’ve already know such as the 5.1″ Quad HD display and it runs on Qualcomm’s top-end Snapdragon 820 processor that’s mated to 4GB of RAM. The database also listed a 12MP main camera at the rear that’s capable of shooting 4K videos while the front is having a 5MP shooter. Out of the box, it runs on Android 6.0.1 and if it follows the One A9’s “within 15-days after Nexus” update promise, this could be a serious contender.  We’ve seen a couple of leaks of the   and it looks pretty sleek with its two-tone metal finish at the back. While it won’t have a pair of front facing speakers, HTC appears to be working on an   that might deliver an even better audio experience.  Can HTC bounce back in 2016? We’ll find out next month.",6
Alexander Wong,Waze will let you know if you’re driving above the speed limit,http://www.soyacincau.com/2016/03/30/waze-driving-over-speed-limit-alert/,"AES,GPS,GPS Navigation,Navigation. Waze Navigation,Speed limit,Speed Limit Alert,Waze,Waze Speed Alert",Mobile Apps,2016-03-30,"Want to avoid getting another speeding ticket? Waze has started to introduce a speed alert feature which tells you if you’re driving faster than you should. This is rolling out starting today in Austria, Belgium, Brazil, Colombia, Czech Republic, El Salvador, France, Hungary, Italy, Latvia, Liechtenstein, Netherlands, New Zealand, Sweden, Switzerland, Trinidad, Tobago and Uruguay. More countries will be supported very soon. Waze says that you won’t need to make any changes. If you drive faster than the permitted speeds, a pop-up alert will appear next to the little speedometer, letting you know you’re going over. You can also tweak the settings to alert you if you’ve hit the speed limit or only if you have exceeded by 5, 10 or 15%. With these speed limit alerts, Waze hopes that it will provide a safer driving experience for all. All these are made possible by their community of Waze Map Editors that have been diligently populating speed limits for their local roads. With Malaysia being among the   globally, we hope this will be rolled out locally soon.",5
Alexander Wong,The OPPO F1 Plus comes to Malaysia on 7 April,http://www.soyacincau.com/2016/03/30/oppo-f1-plus-malaysia-official-launch-7-april/,"Oppo,OPPO F1,OPPO F1 Plus,OPPO F1 Plus Launch,OPPO F1 Plus Malaysia,Oppo Malaysia,OPPO R9,OPPO R9 Malaysia","Android,Mobile Devices,Mobile OS,Oppo",2016-03-30,"Looks like Nora Danish is getting a new phone soon. OPPO Malaysia will be launching the   smartphone next week and it’s more than just an   with a bigger screen. When OPPO Malaysia CEO William Fang posted pictures of the F1 Plus, it looked   that was  . Today, OPPO has officially confirmed that the   will be sold as the F1 Plus outside of China and Taiwan. Since the OPPO F1 has been marketed in our region as the “selfie expert”, it probably makes more sense for them to push it under the F1 banner especially when the   focuses on its 16MP selfie camera. To recap on the specs, the OPPO F1 Plus (aka OPPO R9 in China) gets a 5.5″ full HD AMOLED display and below it lies a front-facing fingerprint scanner that doubles up as a capacitive home button. Underneath its rounded metal unibody, it runs on MediaTek’s 2GHz P10 processor that’s mated to 4GB of RAM with a huge 64GB of storage. It is also a dual-SIM 4G LTE device with a hybrid SIM tray slot that accepts microSD up to 128GB. In terms of optics, it gets a high-resolution 16MP camera at the front, which is double the pixel count of its OPPO F1 8MP selfie cam. Over at the rear, it gets a 13MP f/2.2 shooter with PDAF. Following the spec sheet of the OPPO R9, it gets a 2,850mAh battery that supports VOOC charging. According to OPPO, a quick 5-minute charge is enough to provide 2 hours of talk time. Out of the box, it runs on their newer ColorOS 3.0 that’s based on Android 5.1 Lollipop.",6
Rory Lee,WhatsApp now offers text formatting on their iPhone app,http://www.soyacincau.com/2016/03/30/whatsapp-now-offers-text-formatting-on-their-iphone-app/,"Android,apple,Apple iPhone,Facebook,iPhone 6,iPhone 6 Plus,iPhone 6S,iPhone 6s Plus,iPhone SE,smartphone,Whatsapp,WhatsApp for iPhone","Apple,Cool stuff,iOS,iPhone,Mobile Apps,Mobile Devices,Mobile OS",2016-03-30,"Have you ever been annoyed at how   difficult it is to place   in   conversations? Well, now it’s going to be much easier because if you’re on an  , the text messaging service will let you use text formatting in your conversations. Unfortunately, this doesn’t apply to the   version of  . Right now, if you fire up your WhatsApp for iPhone app, it gives you limited text formatting options like  ,   and  . This opens up plenty of opportunities to make conversations more colourful and even inject a little sarcasm into your chats. Although you don’t have access to more complex text formatting like super  or sub , I’m sure simply having access to bold, strikethrough and italics is more than good enough for daily conversations. Here’s how you can do it: To   your text, simply add and asterisk or “*”to the beginning and end of whatever text it is you want to bold. For example *oranges* will become  If you want to strikethrough a particular text, simply add a tilde or “~” symbol to the start and end of whatever text it is you want to strikethrough. For example ~funky grapes~ becomes  Finally, to get access to the italics text formatting, simply add an underscore or “_” to the front and back of a word or sentence. For example, _zwanky passion fruit_ becomes  . Be careful about using it when chatting with your friends using the Android version of WhatsApp because they will not see the text formatting since it isn’t supported. Instead, they’ll just see the symbols as-is, which means your text might come out looking a little silly.",6
